Bandit,Reward,Algorithm
3.0,3.012378135320285,EpsilonGreedy
3.0,3.8664615397404254,EpsilonGreedy
3.0,4.0328131733788775,EpsilonGreedy
3.0,3.5963864041554214,EpsilonGreedy
3.0,2.9985375329468082,EpsilonGreedy
3.0,6.613235607187499,EpsilonGreedy
3.0,3.2859334772122146,EpsilonGreedy
0.0,2.1606873110738958,EpsilonGreedy
3.0,3.7957144195265418,EpsilonGreedy
3.0,5.498044082812623,EpsilonGreedy
3.0,3.0127214058093683,EpsilonGreedy
3.0,4.13992987594032,EpsilonGreedy
3.0,4.060138132097046,EpsilonGreedy
3.0,3.3268330545670795,EpsilonGreedy
3.0,2.6013491886239932,EpsilonGreedy
3.0,4.753457366740165,EpsilonGreedy
3.0,6.230785593226635,EpsilonGreedy
3.0,3.2525735165990994,EpsilonGreedy
3.0,4.192522654575947,EpsilonGreedy
3.0,4.597460776227089,EpsilonGreedy
3.0,3.2417643334561257,EpsilonGreedy
3.0,4.46227461830611,EpsilonGreedy
3.0,5.217447762235553,EpsilonGreedy
3.0,3.3202826305766475,EpsilonGreedy
3.0,4.290918581652433,EpsilonGreedy
3.0,4.875011994039331,EpsilonGreedy
3.0,4.568037962756242,EpsilonGreedy
3.0,5.603049635952479,EpsilonGreedy
3.0,2.4742125073362957,EpsilonGreedy
3.0,4.61253941695792,EpsilonGreedy
3.0,5.771227711547957,EpsilonGreedy
3.0,3.821863386724482,EpsilonGreedy
3.0,2.5672144221135342,EpsilonGreedy
3.0,3.311173345789728,EpsilonGreedy
3.0,3.9116658012255052,EpsilonGreedy
3.0,4.448784473681735,EpsilonGreedy
3.0,4.132730472196122,EpsilonGreedy
3.0,4.073981440650838,EpsilonGreedy
3.0,4.4576549894063096,EpsilonGreedy
3.0,5.525262104318524,EpsilonGreedy
3.0,3.972544189959094,EpsilonGreedy
3.0,3.628606594484203,EpsilonGreedy
3.0,3.474467715855678,EpsilonGreedy
3.0,4.620940363639321,EpsilonGreedy
3.0,5.5355662135400445,EpsilonGreedy
3.0,3.5267003317333296,EpsilonGreedy
3.0,3.6004256953863094,EpsilonGreedy
3.0,4.23164073275346,EpsilonGreedy
